ID;Nombre;Número de parte;Cantidades;Peso(g);Costo unitario($);;
118;RN_4x10K_25V_5%_62mW;YC124-JR-0710KL;77;127;1.58;;121.66
119;RN_4x1.0K_50V_5%_62mW;YC124-JR-071KL;72;104;1.48;;106.56
120;R06_1K0_50V_1%_100mW;CR0603-FX-1001ELF;69;119;1.67;;115.23
121;R06_10K_50V_1%_100mW;RC0603FR-0710KL;33;77;1.87;;61.71
122;RN_4x22R_50V_5%_62mW;YC124-JR-0722RL;77;91;1.58;;121.66
123;R06_47K_50V_1%_100mW;RC0603FR-0747KL;58;70;1.93;;111.94
124;R06_100K_50V_1%_100mW;RC0603FR-07100KL;33;87;1.49;;49.17
125;RN_4x0R_25V_5%_62mW;TC124-JR-070RL;19;111;1.46;;27.74
126;R06_20K_75V_1%_100mW;CRCW060320K0FKEA;80;68;1.92;;153.6
127;R0603;MCT06030E1002B[P1]00;40;106;1.75;;70
128;R06_1K0_50V_1%_100mW;CR0603-FX-1001ELF;27;56;1.91;;51.57
129;R1206;RC1206FR-[07]10KL;58;86;1.49;;86.42
130;RN_4x220R_50V_5%_62mW, 4xR0402;YC124-JR-07220RL, YC124-JR-[07]220RL;55;73;1.53;;84.15
131;R06_220R_50V_1%_100mW;RC0603FR-07220RL;74;109;1.97;;145.78
132;R06_120R_50V_1%_100mW;RC0603FR-07120RL;23;64;1.65;;37.95
133;R06_150R_50V_1%_100mW;RC0603FR-07150RL;61;73;1.55;;94.55
134;R04_1K0_50V_1%_63mW_TK100;RC0402FR-071KL;39;96;1.64;;63.96
135;R06_20R_75V_1%_100mW;CRCW060320R0FKEA;58;55;1.83;;106.14
136;R04_27R_50V_1%_63mW_TK100;RC0402FR-0727RL;58;52;1.91;;110.78
137;R06_100R_50V_1%_100mW;RC0603FR-07100RL;33;123;1.9;;62.7
138;R06_1M_50V_1%_100mW;RC0603FR-071ML;30;110;1.72;;51.6
139;PT_NO_TS3625A SMD Tact Switch,3.65x6.1x2.5mm;TS3625A;61;77;1.88;;114.68
140;FN_34V_400mA_5V_ISP742RI;ISP742RI;67;52;1.66;;111.22
141;TRANS PREBIAS NPN 246MW SOT23-3;MMUN2214LT1G;52;45;1.5;;78
142;MicroSD Card Holder Würth_693071010811;6.93071E+11;80;66;1.9;;152
143;250VAC/3A, 20mOhm;DS1021-1*6SF1-1;59;86;1.62;;95.58
144;50V/0.5A, 50mOhm, Dual Contact;XF3M-0615-1B;20;100;1.84;;36.8
145;PINHEADER_180°_RM2.54mm_1Row_2Pin_1A_DS1021-1*2SF1-1B;DS1021-1*2SF1-1B;41;83;1.91;;78.31
146;50V/1.0A, 40mOhm;SM02B-SRSS-TB(LF)(SN);66;81;1.99;;131.34
147;Batteriehalter 2032;79527141;41;105;1.88;;77.08
148;50V/1.0A, 40mOhm;SM04B-SRSS-TB(LF)(SN);63;50;1.6;;100.8
149;50V/1.0A, 40mOhm;SM08B-SRSS-TB(LF)(SN);66;120;1.62;;106.92
150;USB micro THT AB vertical;U-E-M5DD-W-2;70;79;1.94;;135.8
151;PINHEADER_180°_RM2.54mm_1Row_6Pin_1A_DS1021-1*6SF1-1;DS1021-1*6SF1-1;60;91;1.64;;98.4
152;250VAC/3A, 20mOhm;DS1021-1*2SF1-1;56;100;1.65;;92.4
153;250VAC/3A, 20mOhm;61300611121;62;64;1.95;;120.9
154;50V/0.5A, 50mOhm, Dual Contact;XF3M-4015-1B;41;71;1.51;;61.91
155;WE 61900411121;61900411121;48;122;1.76;;84.48
156;250VAC/3A, 10mOhm;B18B-PUDSS-1(LF)(SN);54;66;1.99;;107.46
157;250VAC/3A, 10mOhm;B16B-PUDSS-1(LF)(SN);19;48;1.59;;30.21
